"Qty";"Value";"Device";"Package";"Parts";"Description";"BOM";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"VALUE";
"1";"";"M01PTH";"1X01";"GND";"Header 1";"";"";"";"";"";"";"";
"6";"0.1uF";"CAP0603-CAP";"0603-CAP";"C1, C2, C3, C4, C6, C7";"Capacitor";"";"";"";"";"";"";"";
"3";"10K";"RESISTOR0603-RES";"0603-RES";"R8, R9, R10";"Resistor";"";"";"";"";"";"";"";
"1";"10k";"RESISTOR0603-RES";"0603-RES";"R11";"Resistor";"";"";"";"";"";"";"";
"1";"1K";"RESISTOR_SFE0603-RES";"0603-RES";"R1";"Resistor";"";"";"";"";"";"";"";
"10";"2k2";"RESISTOR0603-RES";"0603-RES";"R2, R3, R4, R5, R6, R7, R12, R13, R14, R15";"Resistor";"";"";"";"";"";"";"";
"1";"470nF";"CAP0603-CAP";"0603-CAP";"C5";"Capacitor";"";"";"";"";"";"";"";
"1";"4P-2.0";"GROVE-CONNECTOR-DIP(4P-2.0)";"HW4-2.0";"I2CS";"320110033";"";"";"";"";"";"";"4P-2.0";
"4";"4P-2.0-90D";"GROVE-CONNECTOR-DIP-90D(4P-2.0)";"HW4-2.0-90D";"I2C1, I2C2, I2C3, I2C4";"320110034";"";"";"";"";"";"";"4P-2.0-90D";
"4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"FID1, FID2, FID3, FID4";"Fiducial Alignment Points";"";"";"";"";"";"";"";
"4";"NO";"JMP-2-NO";"JMP-2-NO";"!RST, A0, A1, A2";"Basic Jumper - Normally Open";"EXCLUDE";"";"";"";"";"";"";
"1";"NO";"JMP-3-NO-PTH";"JMP-3-NO-PTH-2.54";"J1";"Three Terminal Jumper - Normally Open";"";"";"";"";"";"";"";
"1";"PCA9546A";"PCA9546A";"SOP65P640X110-16N";"U1";"4-channel I2C-bus switch with reset";"";"PCA9546APW,112";"1831208";"70R6610";"TSSOP-16";"NXP";"";
"1";"RED";"LED0603";"LED-0603";"D1";"LEDs";"";"";"";"";"";"";"";
"1";"TSOC-24-BB";"TSOC-24-BB";"TSOC-BB-S24";"U$3";"thingSoC Twenty-Four(24) Pin Socket";"";"";"";"";"";"";"";
"1";"TSOC-LOGO-LRG";"TSOC-LOGO-LRG";"TSOC-LOGO-LRG";"U$101";"thingSoC Logo";"";"";"";"";"";"";"";
"3";"TSOC-LOGO-SMALL";"TSOC-LOGO-SMALL";"TSOC-LOGO-SML";"U$1, U$102, U$103";"thingSoC Logo";"";"";"";"";"";"";"";
"1";"TSOC-PCB-SINGLE";"TSOC-PCB-SINGLE";"TSOC-BB-BRD-DIM";"U$2";"thingSoC PCB Outlines";"";"";"";"";"";"";"";
